Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,Tract_1,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
37119002500,37119,NC1,002500,1.5326284,31.6456718,67,35.217270999999997,-80.823634999999996,1704,37119002500,36.5999985,47.7999992,62.5999985,71.0999985,78.6999969,88.6999969,95.5000000
37119002600,37119,NC1,002600,0.7046195,15.0550709,33,35.210073999999999,-80.831614000000002,1514,37119002600,36.7000008,47.9000015,62.5999985,71.0999985,78.6999969,88.6999969,95.6999969
37119002903,37119,NC1,002903,4.2657013,50.8844872,40,35.155498000000001,-80.816453999999993,1694,37119002903,37.0999985,48.2999992,63.0999985,71.6999969,79.3000031,89.4000015,96.4000015
37119003007,37119,NC1,003007,9.0376120,100.4084854,73,35.121499000000000,-80.813321000000002,1126,37119003007,37.4000015,48.5999985,63.2999992,71.9000015,79.3000031,90.0000000,97.4000015
37119003008,37119,NC1,003008,5.1078763,59.9613991,39,35.097213000000004,-80.836352000000005,1339,37119003008,37.4000015,48.5999985,63.2999992,71.9000015,79.4000015,90.1999969,97.6999969
37119003012,37119,NC1,003012,4.4777455,41.9504585,29,35.113466000000003,-80.851606000000004,1583,37119003012,37.2000008,48.4000015,63.0999985,71.6999969,79.0999985,89.6999969,97.4000015
37119003015,37119,NC1,003015,4.6887221,65.8781281,38,35.125160999999999,-80.762770000000003,1387,37119003015,37.7000008,48.7999992,63.5000000,72.1999969,79.9000015,90.3000031,97.3000031
37119003016,37119,NC1,003016,3.0374789,42.0416412,37,35.110619000000000,-80.767741000000001,1207,37119003016,37.7999992,48.9000015,63.5999985,72.4000015,80.0000000,90.4000015,97.5999985
37119003018,37119,NC1,003018,1.8563887,32.6853485,23,35.105989000000001,-80.784634999999994,1338,37119003018,37.7000008,48.7999992,63.5000000,72.1999969,79.8000031,90.5000000,97.8000031
37119003103,37119,NC1,003103,4.0005374,49.9561424,74,35.167206999999998,-80.861828000000003,1655,37119003103,36.7000008,47.9000015,62.7000008,71.1999969,78.6999969,89.0999985,96.4000015
